,Release date,Availability - Officially announced,Availability - Prices (MSRP),Availability - Expected nnouncement,Design - Dimensions,Design - Materials,Design - Resistance,Design - Biometrics,Design - Keys,Design - Colors,Design - Weight,Design - Features,Design - Phone functionality,Design - Tablet dock,Design - Dock Features,Display - Size,Display - Type,Display - Resolution,Display - Protection,Display - Features,Display - Colors,Display - Additional display,Hardware - System chip,Hardware - Processor,Hardware - GPU,Hardware - Memory,Hardware - Storage expansion,Hardware - OS,Battery - Type,Battery - Charging,Battery - Charge speed,Camera - Rear,Camera - Main camera,Camera - Second camera,Camera - Video recording,Camera - Front,Camera - Third camera,Camera - Flash,Camera - Fourth camera,Connectivity & Features - Bluetooth,Connectivity & Features - WLAN,Connectivity & Features - USB,Connectivity & Features - Sensors,Connectivity & Features - Location,Connectivity & Features - Other,Connectivity & Features - Hearing aid compatible,Connectivity & Features - HDMI,Multimedia - Headphones,Multimedia - Speakers,Multimedia - Screen mirroring,Multimedia - Additional microphone(s),Multimedia - Features,Multimedia - Radio,Multimedia - Broadcast Mobile TV,Cellular - 5G Bands,Cellular - LTE Bands,Cellular - TDD Bands,Cellular - Data Speed,Cellular - SIM type,Cellular - Dual SIM,Cellular - 3G Bands,Cellular - HD Voice,Cellular - VoLTE,Regulatory Approval - FCC approval,Regulatory Approval - Measured SAR,Phone Features - Notifications,Phone Features - Other features
Sony Xperia J,No information,"Aug 29, 2012",,,4.89 x 2.41 x 0.36 inches 124.3 x 61.2 x 9.2 mm,,,,"Right: Volume control, Lock/Unlock key","Black, Pink, Yellow, White",4.37 oz / 124.0 g,Touch sensitive control keys,,,,"4.0-inch, 57.99% screen-to-body",TFT,"854x480px, 245 PPI",,"Scratch-resistant glass, Proximity sensor",16 777 216,,Snapdragon S1 MSM7227A,Single core1000 MHzARM Cortex-A5,Adreno 200,0.5GB/4GB,microSDHC up to 32 GB,"Android (4.1.2, 4.0)",1750 mAh,,,Single camera,5 MP (Autofocus),,"VGAVideo light, Video calling",0.3 MP VGA,,LED,,"2.1, Yes","b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Proximity sensor",A-GPS,"Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",DLNA,,"Album art cover, Background playback, Music recognition","FM, Stereo, RDS",,,,,"HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"5, 2, 1",,,"Date approved: Aug 31, 2012FCC ID value: PY7PM-0170",Head: 0.63 W/kgBody: 0.50 W/kgWireless Router: 1.17 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia T,No information,"Aug 29, 2012",,,5.09 x 2.65 x 0.37 inches 129.4 x 67.3 x 9.35 mm,,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gray, White",4.90 oz / 139.0 g,Notification light,,,,"4.5-inch, 65.58% screen-to-body",TFT,"1280x720px, 323 PPI",,,16 777 216,,Snapdragon S4 Plus MSM8260A,Dual-core1500 MHzKrait,Adreno 225,1GB (LPDDR2)/16GB,microSDHC up to 32 GB,"Android (4.3, 4.1.2, 4.0.4)",1850 mAh,,,Single camera,"13 MP (Autofocus, BSI sensor)Aperture size: F2.4",,"1080pVideo light, EIS, Video calling",1.3 MP,,LED,,3.1,"b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,Yes,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share,MHL",,"Album art cover, Background playback, Music recognition","FM, Stereo, RDS",,,,,"HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Micro SIM,,"5, 8, 4, 2, 1",Yes,,"Date approved: Sep 13, 2012FCC ID value: PY7PM-0030",Head: 1.07 W/kgBody: 0.88 W/kgSimultaneous Transmission: 1.45 W/kgWireless Router: 1.12 W/kg,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia V,No information,"Aug 29, 2012",,,5.08 x 2.56 x 0.42 inches 129 x 65 x 10.7 mm,,"Splash, Dust; IP57",,,"Black, Pink, White",4.23 oz / 120.0 g,Notification light,,,,"4.3-inch, 60.75% screen-to-body",TFT,"1280x720px, 342 PPI",,,16 777 216,,Snapdragon S4 Plus MSM8960,Dual-core1500 MHzKrait,Adreno 225,1GB (DDR2)/8GB,microSDHC up to 32 GB,"Android (4.3, 4.1.2, 4.0)",1750 mAh,,,Single camera,"13 MP (Autofocus, BSI sensor)Aperture size: F2.4",,1080pVideo calling,0.3 MP VGA,,LED,,4.0,"a,b,g,nHotspot802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,Wireless screen share,MHL",,"Album art cover, Background playback, Music recognition","FM, Stereo, RDS",,,"1, 3, 5, 7",,"LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"5, 8, 1",,,"Date approved: Dec 06, 2012FCC ID value: PY7PM-0060",Head: 0.86 W/kgBody: 0.73 W/kgSimultaneous Transmission: 1.22 W/kgWireless Router: 1.21 W/kg,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia Tablet S,No information,"Aug 29, 2012",$400,,9.44 x 6.87 x 0.47 inches 239.8 x 174.4 x 11.85 mm,,Splash,,"Right: Volume control, Lock/Unlock key",,20.64 oz / 585.0 g,,,,,"9.4-inch, 61.23% screen-to-body",TFT,"800x1280px, 161 PPI",,,,,NVIDIA Tegra 3 T30L,Quad-core1300 MHzARM Cortex-A9,Nvidia ULP GeForce,1GB (LPDDR3)/16GB1GB/32GB1GB/64GB,microSDXC up to 128 GB,"Android (4.1.1, 4.0.3)",,,,Single camera,"8 MP (Autofocus, BSI sensor)",,YesVideo calling,Othe,,,,3.0,"b,g,n802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor",GPS,"Infrared, Computer sync, OTA sync",,,3.5mm jack,Multiple speakers,"DLNA,MHL",,"Album art cover, Background playback",,,,,,,,,,,,,,"Flight mode, Silent mode, Speakerphone","Voice commands, Voice recording"
Sony Xperia tipo dual,No information,"Jun 13, 2012",,,4.06 x 2.24 x 0.51 inches 103 x 57 x 13 mm,,,,Right: Volume control,"Black, Blue, Red, White",3.51 oz / 99.4 g,,,,,"3.2-inch, 51.97% screen-to-body",TFT,"480x320px, 180 PPI",,"Proximity sensor, Scratch-resistant glass",262 144,,Snapdragon S1 MSM7225A,Single core800 MHzARM Cortex-A5,Adreno 200,0.5GB/2.5GB,microSDHC up to 32 GB,Android (4.0),"1500 mAh, Li - Ion",,,Single camera,3.2 MP,,VGA,,,,,"2.1, Yes","b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Proximity sensor",GPS,"Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",,,"Album art cover, Background playback, Music recognition","FM, Stereo, RDS",,,,,"HSDPA 7.2 Mbit/s, UMTS",,Yes,"5, 2, 1",,,"Date approved: Aug 15, 2012FCC ID value: PY7PM-0131",Head: 1.28 W/kgBody: 0.55 W/kgWireless Router: 1.27 W/kg,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia tipo,No information,"Jun 13, 2012",,,4.06 x 2.24 x 0.51 inches 103 x 57 x 13 mm,,,,Right: Volume control,"Black, Blue, Red, White",3.51 oz / 99.4 g,,,,,"3.2-inch, 51.97% screen-to-body",TFT,"480x320px, 180 PPI",,"Proximity sensor, Scratch-resistant glass",262 144,,Snapdragon S1 MSM7225A,Single core800 MHzARM Cortex-A5,Adreno 200,0.5GB/2.5GB,microSDHC up to 32 GB,Android (4.0.4),"1500 mAh, Li - Ion",,,Single camera,3.2 MP,,VGA,,,,,"2.1, Yes","b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Proximity sensor",GPS,"Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",TV-out,,"Album art cover, Background playback, Music recognition","FM, Stereo, RDS",,,,,"HSDPA 7.2 Mbit/s, UMTS",,,"5, 2, 1",,,"Date approved: Jul 17, 2012FCC ID value: PY7PM-0130",Head: 1.28 W/kgBody: 0.55 W/kgWireless Router: 1.27 W/kg,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia acro S,No information,"May 30, 2012",,,4.96 x 2.60 x 0.47 inches 126 x 66 x 11.9 mm,,"Water, Dust; IP57",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Pink, White",5.19 oz / 147.0 g,,,,,"4.3-inch, 61.27% screen-to-body",TFT,"1280x720px, 342 PPI",,,16 777 216,,Snapdragon S3 MSM8260,Dual-core1500 MHzScorpion,Adreno 220,1GB/16GB,microSDHC up to 32 GB,Android (4.0.4),1910 mAh,,,Single camera,"12.1 MP (Autofocus, BSI sensor)Aperture size: F2.4",,"1080pVideo light, EIS, Video calling",1.3 MP,,LED,,3.0,"b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,Yes,3.5mm jack,"Earpiece, Loudspeaker",DLNA,,"Album art cover, Background playback, Music recognition, Sound effects","FM, Stereo, RDS",,,,,"HSDPA 14.4 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"5, 8, 2, 1",,,"Date approved: Jul 09, 2012FCC ID value: PY7PM-0210",Head: 1.05 W/kgBody: 0.83 W/kgSimultaneous Transmission: 0.89 W/kgWireless Router: 1.14 W/kg,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia go,No information,"May 30, 2012",,,4.37 x 2.37 x 0.39 inches 111 x 60.3 x 9.8 mm,,"Water (up to 1529 meters), Dust; IP67",,Right: Volume control,"Black, Yellow, White",3.88 oz / 110.0 g,,,,,"3.5-inch, 54.59% screen-to-body",TFT,"480x320px, 165 PPI",,,16 777 216,,ST-Ericsson NovaThor U8500,Dual-core1000 MHzARM Cortex-A9,ARM Mali-400,0.5GBROM: 8192 MB,microSDHC up to 32 GB,Android (2.3.7),1305 mAh,,,Single camera,5 MP (Autofocus),,"720pVideo light, EIS",,,LED,,3.0,"b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Barometer, Ambient light sensor, Proximity sensor",GPS,"Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",DLNA,,"Album art cover, Background playback, Music recognition, Sound effects","FM, Stereo, RDS",,,,,"HSDPA 14.4 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"8, 1",,,,,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia GX,No information,"May 09, 2012",$632,,5.16 x 2.72 x 0.41 inches 131 x 69 x 10.5 mm,,,,,"Black, White",4.48 oz / 127.0 g,,,,,"4.6-inch, 64.42% screen-to-body",,"1280x720px, 319 PPI",,,,,Snapdragon S4 Plus MSM8960,Dual-core1500 MHzKrait,Adreno 225,1GB (DDR2)/16GB,,Android (4.0.3),"1700 mAh, Li - Ion",,,Single camera,13 MP (Autofocus),,1080p,1.3 MP,,LED,,3.1,YesHotspot,"microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor",GPS,"Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",MHL,,"Album art cover, Background playback",,,,1,,"LTE, HSPA, UMTS",,,"6, 1",,,,,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia SX,No information,"May 09, 2012",$632,,4.53 x 2.13 x 0.37 inches 115 x 54 x 9.4 mm,,,,"Right: Volume control, Lock/Unlock key","Black, Pink, Orange, White",3.35 oz / 95.0 g,,,,,"3.7-inch, 60.63% screen-to-body",LCD,"960x540px, 298 PPI",,,16 777 216,,Snapdragon S4 Plus MSM8960,Dual-core1500 MHzKrait,Adreno 225,1GB (DDR2)/4GB,microSDHC up to 32 GB,Android (4.0),"1500 mAh, Li - Ion",,,Single camera,"8 MP (Autofocus, CMOS image sensor, BSI sensor)",,1080p (30 fps),0.3 MP VGA,,LED,,3.1,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","Infrared, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker","DLNA,MHL,TV-out",Noise cancellation,"Album art cover, Background playback","FM, RDS",Yes,,1,,"LTE, HSDPA 14.4 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"6, 1",,,,,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia U,"May 07, 2012","Feb 26, 2012",,,4.41 x 2.13 x 0.47 inches 112 x 54 x 12 mm,,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, White",3.88 oz / 110.0 g,,,,,"3.5-inch, 55.70% screen-to-body",TFT,"854x480px, 280 PPI",,,16 777 216,,ST Erricson NovaThor U8500 (40 nm),Dual-core1000 MHzARM Cortex-A9,Mali-400 MP,0.5GB (LPDDR2)/8GB,,"Android (4.0, 2.3.7)","1320 mAh, Li - Ion",,,Single camera,5 MP (Autofocus),,"720pVideo light, Video calling",0.3 MP VGA,,LED,,"2.1, Yes","b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor",A-GPS,"Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",DLNA,,"Album art cover, Background playback, Music recognition","FM, Stereo, RDS",,,,,"HSDPA 14.4 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"5, 2, 1",,,"Date approved: Apr 25, 2012FCC ID value: PY7A3880130",Head: 1.09 W/kgBody: 1.03 W/kgSimultaneous Transmission: 1.09 W/kgWireless Router: 1.00 W/kg,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia sola,"May 07, 2012","Mar 13, 2012",,,4.57 x 2.32 x 0.39 inches 116 x 59 x 9.9 mm,,,,"Left: Lock/Unlock key; Right: Volume control, Camera shutter","Black, Red, White",3.77 oz / 107.0 g,,,,,"3.7-inch, 55.15% screen-to-body",TFT,"854x480px, 265 PPI",,,16 777 216,,ST-Ericsson NovaThor U8500,Dual-core1000 MHz,Yes,0.5GB/8GB,microSDHC up to 32 GB,"Android (4.0.4, 2.3.7)",1320 mAh,,,Single camera,5 MP (Autofocus),,"720p (30 fps)Continuous autofocus, Video light",,,LED,,"2.1, Yes","b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor",A-GPS,"NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",DLNA,Yes,"Album art cover, Background playback, Music recognition, Sound effects","FM, Stereo, RDS",,,,,"HSDPA 14.4 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"5, 8, 2, 1",,,"Date approved: Apr 11, 2012FCC ID value: PY7A3880134",Head: 1.49 W/kgBody: 1.09 W/kgSimultaneous Transmission: 1.49 W/kgWireless Router: 1.34 W/kg,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia neo L,No information,,,,4.76 x 2.41 x 0.48 inches 121 x 61.1 x 12.2 mm,,,,,"Black, White",4.64 oz / 131.5 g,,,,,"4.0-inch, 59.57% screen-to-body",TFT,"854x480px, 245 PPI",,,16 777 216,,Snapdragon S2 MSM8255,Single core1000 MHzScorpion,Adreno 205,0.5GB (LPDDR2)ROM: 1024 MB/0.3GB,microSDHC up to 32 GB,Android (4.0.4),"1500 mAh, Li - Polymer",,,Single camera,5 MP (Autofocus)Aperture size: F2.4,,720p (30 fps)Video calling,0.3 MP VGA,,LED,,"2.1, Yes","b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Wi-Fi positioning","Tethering, Computer sync, OTA sync",,Yes,3.5mm jack,"Earpiece, Loudspeaker",DLNA,,"Album art cover, Background playback",,,,,,"HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"8, 1",,,,,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia P,No information,"Feb 26, 2012",,,4.80 x 2.34 x 0.41 inches 122 x 59.5 x 10.5 mm,,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gray, Silver, Red",4.23 oz / 120.0 g,,,,,"4.0-inch, 60.87% screen-to-body",TFT,"960x540px, 275 PPI",,,16 777 216,,ST Erricson NovaThor U8500,Dual-core1000 MHzARM Cortex-A9,ARM Mali-400,1GB (LPDDR2)/16GB,,"Android (4.1.2, 4.0.1, 2.3.7)",1305 mAh,,,Single camera,"8 MP (Autofocus, CMOS image sensor, BSI sensor)",,"1080pVideo light, Video calling",0.3 MP VGA,,LED,,"2.1, Yes","b,g,nHotspot802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor",A-GPS,"NFC, Tethering, Computer sync, OTA sync",,Yes,3.5mm jack,"Earpiece, Loudspeaker",DLNA,,"Album art cover, Background playback, Music recognition","FM, Stereo, RDS",,,,,"HSDPA 14.4 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,,"5, 8, 2, 1",,,"Date approved: Apr 05, 2012FCC ID value: PY7A3880135",Head: 1.18 W/kgBody: 0.84 W/kgSimultaneous Transmission: 1.34 W/kgWireless Router: 1.34 W/kg,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia ion,No information,"Jan 09, 2012",,,5.20 x 2.68 x 0.42 inches 132 x 68 x 10.6 mm,,,,,Black,5.08 oz / 144.0 g,,,,,"4.5-inch, 63.48% screen-to-body",TFT,"1280x720px, 323 PPI",,,16 777 216,,,Dual-core1500 MHz,Yes,1GB/16GB,microSDHC up to 32 GB,"Android (4.1.2, 4.0, 2.3)",1900 mAh,,,Single camera,"12.1 MP (Autofocus, BSI sensor)",,1080p,1.3 MP,,LED,,Yes,Yes,"microUSB, USB 2.0","Accelerometer, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",,Yes,3.5mm jack,,TV-out,,"Album art cover, Background playback",FM,,,17,,"LTE, HSPA, UMTS",,,"5, 2, 1",,,,,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia S,No information,"Jan 10, 2012",,,5.04 x 2.52 x 0.42 inches 128 x 64 x 10.6 mm,,,,"Right: Volume control, Camera shutter","Black, White",5.08 oz / 144.0 g,,,,,"4.3-inch, 62.21% screen-to-body",TFT,"1280x720px, 342 PPI",,,16 777 216,,Snapdragon S3 MSM8260,Dual-core1500 MHz,Adreno 220,1GB/32GB,,"Android (4.1, 4.0.4, 2.3.7, 2.3.5)","1750 mAh, Li - Polymer",,,Single camera,"12.1 MP (Autofocus, BSI sensor)Aperture size: F2.4",,1080p (29 fps)Video light,1.3 MP,,LED,,"2.1, Yes","b,g,nHotspot, Wi-Fi Direct802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, ANT+, Tethering, Computer sync, OTA sync",,Yes,3.5mm jack,,DLNA,,"Album art cover, Background playback","FM, Stereo, RDS",,,,,"HSDPA 14.4 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Micro SIM,,"5, 8, 2, 1",,,"Date approved: Jan 27, 2012FCC ID value: PY7A3880120",Head: 1.31 W/kgBody: 1.07 W/kgSimultaneous Transmission: 1.31 W/kgWireless Router: 1.07 W/kg,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Tablet S,"Sep 11, 2011","Apr 26, 2011",,,9.50 x 6.86 x 0.40 inches 241.2 x 174.3 x 10.1 mm,,,,"Right: Volume control, Lock/Unlock key, Other",,21.09 oz / 598.0 g,,,,,"9.4-inch, 60.94% screen-to-body",TFT,"800x1280px, 161 PPI",,,,,NVIDIA Tegra 2,Dual-core1000 MHz,Yes,1GB/32GB1GB/16GB,"SD, SDHC up to 32 GB","Android (4.0, 3.1)","5000 mAh, Li - Ion",,,Single camera,5 MP (Autofocus),,"720p (30 fps)Continuous autofocus, Video calling",0.3 MP VGA,,,,2.1,Yes,"microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor",GPS,"Computer sync, OTA sync, Infrared",,,3.5mm jack,,DLNA,,,,,,,,UMTS,,,,,,,,"Flight mode, Silent mode, Speakerphone",Voice recording
Sony Tablet P,No information,"Apr 26, 2011",,,7.09 x 6.22 x 0.55 inches 180 x 158 x 14 mm,,,,"Right: Volume control, Other",,13.12 oz / 372.0 g,,,,,"5.5-inch, 26.36% screen-to-body",IPS LCD,"480x1024px, 206 PPI",,,,"5.5 inches, 480 x1024 px, TFT, Touch screen: Yes, Capacitive, Multi-touch: Yes",NVIDIA Tegra 2,Dual-core1000 MHz,Yes,1GB/4GB,microSDHC up to 32 GB,"Android (4.0.3, 3.2)","3080 mAh, Li - Ion",,,Single camera,5 MP (Autofocus),,720pVideo calling,0.3 MP VGA,,,,"2.1, Yes","b,g,n802.11 b, g, n","microUSB, USB 2.0","Accelerometer, Gyroscope, Compass, Ambient light sensor",GPS,OTA sync,,,3.5mm jack,,DLNA,,"Album art cover, Background playback",,,,,,"LTE, HSPA, UMTS",,,"5, 8, 2, 1",,,"Date approved: Jun 04, 2011FCC ID value: AK8SGPT211US",Body: 1.39 W/kgMeasured in: 1900 MHz,"Flight mode, Silent mode, Speakerphone",Voice recording
